address,addressPointId,allContainingTractIds,leafTractId,matchStatus,neighborhood,sourceIds,streetNameNormalized,village
80 LIVINGSTON PL    ,52064247,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
8 WESTCOTT LN    ,52064267,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WESTCOTT LN,Bridgepark
3 WESTCOTT LN    ,52064273,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,WESTCOTT LN,Bridgepark
19 OLD SPIRE DR    ,52064531,LH-TRACT-15886;LH-TRACT-15884,LH-TRACT-15886,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OLD SPIRE DR,Township
17 OLD SPIRE DR    ,52064532,LH-TRACT-15886;LH-TRACT-15884,LH-TRACT-15886,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OLD SPIRE DR,Township
6 OLD SPIRE DR    ,52064549,LH-TRACT-15886;LH-TRACT-15884,LH-TRACT-15886,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OLD SPIRE DR,Township
10 OLD SPIRE DR    ,52064551,LH-TRACT-15886;LH-TRACT-15884,LH-TRACT-15886,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OLD SPIRE DR,Township
12 OLD SPIRE DR    ,52064552,LH-TRACT-15886;LH-TRACT-15884,LH-TRACT-15886,exact_directory_match,The Gables 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,OLD SPIRE DR,Township
6 LANESBORO RD    ,52064689,LH-TRACT-16101;LH-TRACT-16155,LH-TRACT-16101,exact_directory_match,Sterling Glen 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LANESBORO RD,Avendale
8 LANESBORO RD    ,52064690,LH-TRACT-16101;LH-TRACT-16155,LH-TRACT-16101,exact_directory_match,Sterling Glen 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LANESBORO RD,Avendale
9 SHELTON CT    ,52064732,LH-TRACT-16101;LH-TRACT-16155,LH-TRACT-16101,exact_directory_match,Sterling Glen 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SHELTON CT,Avendale
7 SHELTON CT    ,52064733,LH-TRACT-16101;LH-TRACT-16155,LH-TRACT-16101,exact_directory_match,Sterling Glen 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,SHELTON CT,Avendale
